processed_text,label,original_text
day fantastic find important information log lucky message surprise today user,1,"Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
"
going night swing,0,"on hen night. Going with a swing
"
afternoon boy day early go good grin hmmm love online see waiting woke,0,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*
"
calling every ive last smoke someone time two wanted week,0,"From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
"
figure get promise trust trying youll,0,"No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
"
rock,0,"S s..first time..dhoni rocks...
"
company ill ok tell,0,"Ok ill tell the company
"
awesome get th think time tonight usf,0,"Awesome, think we can get an 8th at usf some time tonight?
"
mean still think,0,"So that means you still think of teju
"
good im leave movie ok,0,"No I'm good for the movie, is it ok if I leave in an hourish?
"
home town,0,"No no:)this is kallis home ground.amla home town is durban:)
"
let make monday per saturday,0,"So lets make it saturday or monday as per convenience.
"
driving fri go hey time,0,"Hey... What time is your driving on fri? We go for evaluation on fri?
"
call claim price,1,"449050000301 You have won a £2,000 price! To claim, call 09050000301.
"
aft dat family go going im lor lunch orchard wif,0,"I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
"
bored chat dating dont em get like new pmsg try txt,1,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16
"
back cancel get money,0,"Cancel cheyyamo?and get some money back?
"
anytime call delivery min network new per phone pound reply text tomorrow video want week,1,"Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
"
plan today ur,0,"Ok.ok ok..then..whats ur todays plan
"
good morning princess,0,"Good morning princess! How are you?
"
forgot lor sorry tell,0,"Aiyar sorry lor forgot 2 tell u...
"
get mobile part send taking tc text txt txts use wish yesterday,1,"For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
"
mate new number sleep tonight way,0,"Not tonight mate. Catching up on some sleep. This is my new number by the way. 
"
brother fall gal guy head luv oh shit situation who,0,"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D
"
currently hmv pmsg quiz send ur,1,"Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
"
check,0,"So check your errors and if you had difficulties, do correction.
"
fine,0,"Howz pain?hope u r fine..
"
call ill later sorry,0,"Sorry, I'll call later
"
good morning princess,0,"Good morning princess! How are you?
"
apartment askd bday bos entered felt happy invited lunch pa said special went,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
"
already nice quite thanx wake,0,"U wake up already? Thanx 4 e tau sar piah it's quite nice.
"
anything need,0,"K do I need a login or anything
"
call dont forget free information many place request wish,1,"Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
"
busy lol,0,"LOL ... No just was busy
"
,0,"What * u wearing?
"
everything lot missing number sent text thats via,0,"Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
"
different film,0,"Oh:)as usual vijay film or its different?
"
chat dont find know ldn let pmsg send year,1,"I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
"
busy day good mine much night really tomorrow,0,"Have you had a good day? Mine was really busy are you up to much tomorrow night?
"
send stuff way wonderful,0,"And is there a way you can send shade's stuff to her. And she has been wonderful too.
"
ago got haf happy jus lar long paper really still study tot ur use wat,0,"Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
"
customer future good luck reply service sm stop thank winner,1,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832
"
babe lost,0,"Babe ? I lost you ... :-(
"
ask help ok shes tmr working,0,"Ok... Help me ask if she's working tmr a not?
"
driving get ill im lor mrt,0,"I'm not driving... Raining! Then i'll get caught at e mrt station lor.
"
drop,0,"Not a drop in the tank
"
one said text time,0,"(That said can you text him one more time?)
"
call ill later sorry,0,"Sorry, I'll call later
"
also change go ok,0,"Ok i go change also...
"
every girl many need ready text ur,1,"1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)
"
day find sick slept yesterday,0,"Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
"
check didnt got last left man night phone silent sorry til,0,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up
"
came hee hey last min something think tmr,0,"Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
"
dont drug he like need real there using would,0,"He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
"
hey pizza there,0,"Hey! There's veggie pizza... :/
"
buying got offer plus school,0,"Yun buying... But school got offer 2000 plus only...
"
didnt pick sure,0,"You sure your neighbors didnt pick it up
"
sent,0,"K. I will sent it again
"
apply comp cup entry final free may receive st text txt win wkly,1,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
"
always amp correct dont friend im kick new person say situation ur win,0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
"
im make time well,0,"Well. Im computerless. Time to make some oreo truffles
"
haha see yeah,0,"Haha yeah I see that now, be there in a sec
"
number sir,0,"I am not having her number sir
"
hot im lol,0,"Lol now I'm after that hot air balloon!
"
bus come ok otherwise soon tomorrow,0,"Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
"
also gd least making moment msg right say think thinking time,0,"Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
"
finish girl probably roommate swing yeah,0,"Yeah, we can probably swing by once my roommate finishes up with his girl
"
energy got part see take text,1,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!
"
happy new year,0,"Happy new years melody!
"
dun need pick ur,0,"Ü dun need to pick ur gf?
"
better either girl told,0,"Yay! You better not have told that to 5 other girls either.
"
abt already eat forgot long reply rite shall take thk wat,0,"Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
"
anything chance die fantastic first life live need person say think would,0,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? 
"
came da,0,"Just nw i came to hme da..
"
hard head im outside rock run youll,0,"I'm outside islands, head towards hard rock and you'll run into me
"
class day,0,"To day class is there are no class.
"
chennai im,0,"I'm in chennai velachery:)
"
shit yet,0,"You flippin your shit yet?
"
give ltgt,0,"K give me a sec, breaking a  &lt;#&gt;  at cstore
"
bad like much,0,"Am i that much bad to avoid like this?
"
around back car got yo,0,"Yo, you around? Just got my car back
"
isnt,0,"Annoying isn't it.
"
goodmorning late ltgt min today,0,"Goodmorning, Today i am late for  &lt;#&gt; min.
"
happy he mr point right there,0,"There's no point hangin on to mr not right if he's not makin u happy
"
come correct figure good looking,0,"All will come alive.better correct any good looking figure there itself..
"
case guess ill see,0,"In that case I guess I'll see you at campus lodge
"
done,0,"We're done...
"
anything come home last one time trust wont,0,"Come to my home for one last time i wont do anything. Trust me.
"
girl hair missed night quiz,0,"I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
"
babe every free get mobile pic sex sexy text ur wk,1,"Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
"
ok ya,0,"Ok... C ya...
"
call new please,1,"You have 1 new voicemail. Please call 08719181503
"
mind said saying,0,"What he said is not the matter. My mind saying some other matter is there.
"
also da know lunch,0,"He also knows about lunch menu only da. . I know
"
de go hav wrong,0,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx
"
account ltdecimalgt ltgt number reference,0,"NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
"
job otherwise part time,0,"Otherwise had part time job na-tuition..
"
called know,0,"I know she called me
"
also da day dear feel night til wait yesterday,0,"Me also da, i feel yesterday night  wait til 2day night dear.
"
ive tell thanks trying,0,"Thanks for understanding. I've been trying to tell sura that.
"
cd draw enter music store tscs txt ur weekly win worth year,1,"WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
"
car dad going last ok reading thing two whole,0,"The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
"
bonus claim door get ok pmsg receive selected sim txt word,1,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr
"
need,0,"I need you to be in my strong arms...
"
also missing,0,"Also maaaan are you missing out
"
bday real,0,"His bday real is in april .
"
aint gon na,0,"Guessin you ain't gonna be here before 9?
"
come half home hour ok ur,0,"Ok then i will come to ur home after half an hour
"
almost game go soon want yo,0,"Yo, the game almost over? Want to go to walmart soon
"
goin know let probably sure ur well yeah,0,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!
"
forgot ill like text think wont,0,"I'll text now! All creepy like so he won't think that we forgot
"
good ill phone shall something tomo would,0,"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?
"
call new please,1,"You have 1 new voicemail. Please call 08719181513.
"
make til tomorrow tonight wait want,0,"Damn, can you make it tonight or do you want to just wait til tomorrow
"
also course,0,"K..k..i'm also fine:)when will you complete the course?
"
apply get life make true year,0,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.
"
every free friend get info mob nokia reply st tell tone txt ur week,1,"No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
"
know,0,"Prakesh is there know.
"
college come da teach,0,"Teach me apps da. When you come to college.
"
,0,"Rofl betta invest in some  anti aging products
"
cash claim flight holiday inc live operator receive selected speak specially winner,1,"You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
"
account another hr receive sir sorry time,0,"sir, you will receive the account no another 1hr time. Sorry for the delay.
"
address completely free name post receive reply week,1,"Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
"
da project rite tmr,0,"So ü'll be submitting da project tmr rite?
"
care comp enter entry free send tc weekly word,1,"FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
"
an jus lar later noe,0,"Jus ans me lar. U'll noe later.
"
easy fast ltgt money sell send something want,0,"I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
"
got later may pub thing,0,"have got * few things to do. may be in * pub later.
"
call finish meeting,0,"1's finish meeting call me.
"
ill lol ok,0,"Lol ok. I'll snatch her purse too.
"
fun make sorry,0,"""Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx""
"
lovable opinion pls reply silent simple,0,"Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
"
getting much,0,"How much are we getting?
"
aft paper tmr ur,0,"Is ur paper in e morn or aft tmr?
"
dear end going plan,0,"Dear relieved of westonzoyland, all going to plan this end too!
"
best great hope made new semester wish,0,"Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
"
email get hmm oh speak txt yes,0,"Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
"
princess show want world,0,"I want to show you the world, princess :) how about europe?
"
dad decide eat nobody want,0,"Nobody can decide where to eat and dad wants Chinese
"
im room waiting,0,"No shoot me. I'm in the docs waiting room. :/
"
dinner going im soon,0,"Now? I'm going out 4 dinner soon..
"
download hello pls song urgent,0,"Hello which the site to download songs its urgent pls
"
credit im king know mean night sleep sweet,0,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! 
"
come gal got sch stuff,0,"Horrible gal. Me in sch doing some stuff. How come u got mc?
"
comin every hi hope il im sorry,0,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x
"
call dont later network sm,0,"I call you later, don't have network. If urgnt, sms me.
"
birthday day dear happy heart many return sweet,0,"Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
"
call immediately message please urgent waiting,1,"Please CALL 08712402779 immediately as there is an urgent message waiting for you
"
friend go half hour like shit yeah,0,"Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
"
da go mum say wan watch,0,"Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
"
plan,0,"What your plan for pongal?
"
end get march oh till wait,0,"Just wait till end of march when el nino gets himself. Oh.
"
bus im room yet,0,"Not yet chikku..going to room nw, i'm in bus..
"
also pay,0,"Am also doing in cbe only. But have to pay.
"
im missing,0,"Honey boo I'm missing u.
"
account contact cum customer detail id mail sent service ur,0,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us
"
cash gettin good im news parent picked yo,0,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem
"
company didnt enjoy get good hope much oh thank wit,0,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!
"
call feeling gay guy hungry pmin stop text,1,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)
"
friend need ok remember,0,"Ok. No wahala. Just remember that a friend in need ...
"
half hour see,0,"I will see in half an hour
"
ever im like men,0,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!
"
go hey luv sorry ya,0,"""Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.""
"
right seriously tell word,0,"SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
"
call chat cum get luv meet na phone set wan xx,1,"Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
"
hee,0,"Tee hee. Off to lecture, cheery bye bye.
"
able chikku got msg nt problem reply sorry,0,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..
"
get go havent know let number place pls sent still,0,"If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
"
ok,0,"Ok...
"
free network operator service visit,1,"network operator. The service is free. For T & C's visit 80488.biz
"
contact ive know let ok room,0,"Let me know how to contact you. I've you settled in a room. Lets know you are ok.
"
wot,0,"Wot u up 2 u weirdo?
"
lor,0,"Can do lor...
"
dont mode ok phone put silent,0,"Dont put your phone on silent mode ok
"
lor meet wan,0,"Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
"
busy leh lor show start still tv ur waiting,0,"Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
"
first ho oh time type use word,0,"Oh ho. Is this the first time u use these type of words
"
doesnt one,0,"Am I the only one who doesn't stalk profiles?
"
always ever gud love much nyt one person told,0,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt
"
thanks thought yes,0,"Yes i thought so. Thanks.
"
im ok shes,0,"But if she.s drinkin i'm ok.
"
others took wondering,0,"Just wondering, the others just took off
"
another blue come day gud leaf like may morning mrng night smile special way worry,0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng
"
already always day end must run till time wait word,0,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?
"
happy new year,0,"Happy new year to u too!
"
may pm,0,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May
"
aft done eat got lect oso rite ur wat,0,"Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... 
"
babe came happened hey online saw second,0,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?
"
da date dont give keep real secret shall special thanks today treat way wish,0,"Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
"
birthday come dream happy may true ur,0,"Happy birthday... May all ur dreams come true...
"
already lar ok,0,"Aiyah u did ok already lar. E nydc at wheellock?
"
eat said shit tell,0,"TELL HER I SAID EAT SHIT.
"
driving reach soon sure,0,"Sure! I am driving but will reach my destination soon.
"
much th,0,"K so am I, how much for an 8th? Fifty?
"
text time,0,"Your daily text from me – a favour this time
"
great hear well whats wit,0,"Great to hear you are settling well. So what's happenin wit ola?
"
bad better even feel make one,0,"Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
"
liao reach said tot,0,"I tot u reach liao. He said t-shirt.
"
bout completely credit dad decided fone go got im love way,0,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT
"
cant message phone pick pls right send,0,"I cant pick the phone right now. Pls send a message
"
ill make right,0,"Your right! I'll make the appointment right now.
"
chennai get may,0,"Designation is software developer and may be she get chennai:)
"
call club credit enjoy fun get help new,1,"Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
"
apply best england get go network operator poly rate reply tone,1,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply
"
busy disturb lar,0,"I jokin oni lar.. Ü busy then i wun disturb ü.
"
dont drive ok text,0,"Ok, be careful ! Don't text and drive !
"
always bb even get ill need soon sure trying,0,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.
"
away close go heart much plz stay,0,"U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
"
babe bak everything love sure txt,0,"I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
"
abt making pic,0,"How abt making some of the pics bigger?
"
actually colour done got hair im light lor one quite shes,0,"Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
"
back bring ill im jus little na promise sad say smile ur walk wan wid,0,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)
"
anyway give nothing ok treat,0,"Why nothing. Ok anyway give me treat
"
answer book chance first order question reply win,1,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
"
ok,0,"Ok...
"
correct today work,0,"Correct. So how was work today
"
bed princess sent,0,"Just sent again. Do you scream and moan in bed, princess?
"
ago already dunno long thing wake,0,"I wake up long ago already... Dunno, what other thing?
"
even getting oh,0,"Oh just getting even with u.... u?
"
leave line ok plus said thk,0,"I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
"
amp area call number plz reach show,0,"Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
"
fucking jay sort yeah,0,"Yeah jay's sort of a fucking retard
"
sorry,0,"Sorry, was in the bathroom, sup
"
answer girl good luck next question txt ur,1,"Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
"
day exam great wish,0,"My exam is for february 4. Wish you a great day.
"
ask come dont know like mistake question,0,"I dont know what to do to come out of this so only am ask questions like this dont mistake me.
"
aight ask ill jay,0,"Aight no rush, I'll ask jay
"
call good morning plz sir,0,"Good Morning plz call me sir
"
early lar nite ok sleep,0,"It's ok lar. U sleep early too... Nite...
"
day den lor meet oh,0,"Oh... Icic... K lor, den meet other day...
"
day done eh extra get grin half hour longer much must oh time work wow,0,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*
"
amp around break care enough find get getting hurt put safe,0,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)
"
carlos go may meet sweet,0,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that
"
buying meh need today,0,"Then she buying today? Ü no need to c meh...
"
aight plan shower sorry take ten whats year,0,"Aight sorry I take ten years to shower. What's the plan?
"
every week,0,"Every monday..nxt week vl be completing..
"
im might well,0,"Might ax well im there.
"
another could hr okay pain see sleep,0,"Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
"
ill something try yeah,0,"Yeah I'll try to scrounge something up
"
aft crazy dun frens gd go guy he ill like looking mayb prob say thinking thk,0,"Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
"
somewhere,0,"Were somewhere on Fredericksburg
"
like pas something,0,"Que pases un buen tiempo or something like that
"
getting im night ok sleeping stay tired,0,"Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
"
doesnt need test,0,"She doesnt need any test.
"
home much nothing plan,0,"Nothing much, chillin at home. Any super bowl plan?
"
day dont every miss pic sexy st wk,1,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk
"
near oso wat,0,"Bugis oso near wat... 
"
class right there yo,0,"Yo theres no class tmrw right?
"
heart let mind never sent ur via,0,"Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
"
care da pa please sleep take well,0,"Goodnight, sleep well da please take care pa. Please.
"
class go miss teach,0,"Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
"
convey,0,"Convey my regards to him
"
feeling possible tht,0,"U ned to convince him tht its not possible witot hurting his feeling its the main
"
across afternoon come day go good happy love luck make sea send smile think way,0,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy
"
anyone bb buy dad find month oh sending start tell,0,"If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
"
best break dat day dis dont friday frnds get gud hav life like lover ltgt min news person problem read send sent tomorrow wil,0,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...
"
day dude got guess yo,0,"Yo dude guess who just got arrested the other day
"
change noe say,0,"Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
"
,0,"What does the dance river do?
"
able busy find free get go im please reply shopping sorry via wanted way yahoo,0,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.
"
first go hey im join late lesson mrt pretty reaching really want,0,"Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
"
box call cr fantasy hot live ltd min ntt per po,1,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
"
come ish mine sat ur welcome,0,"Bbq this sat at mine from 6ish. Ur welcome 2 come
"
bout dont enough goin good know start thats thing wrong,0,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …
"
alright good im night,0,"Alright. I'm out--have a good night!
"
another making try,0,"Did you try making another butt.
"
abiola feeling great hope pls,0,"Hope you are feeling great. Pls fill me in. Abiola
"
fun go ok something sound though town,0,"I though we shd go out n have some fun so bar in town or something – sound ok?
"
cover go hand ltgt mode msg press put remove ur write,0,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
"
call chat fact gay pete photo pic pmin stop text try type,1,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324
"
collect go mobile must new nokia optout txt,1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION
"
finally ready,0,"We're finally ready fyi
"
never phone pick,0,"Auntie huai juan never pick up her phone
"
bluetooth call double latest min mobile mobileupd offer orange price txt,1,"Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
"
problem tel ur wats ya,0,"Ya tel, wats ur problem..
"
every free friend get info mob nokia reply st tell tone txt ur week,1,"No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
"
dnt wid,0,"i dnt wnt to tlk wid u
"
day forget made spend waiting,0,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!
"
another feeling go got ok time,0,"Its ok my arm is feeling weak cuz i got a shot so we can go another time
"
already book chennai eve please saturday see sunday ticket want,0,"Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
"
bt dat get girl hello knw msg name person real say wen yes,0,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@
"
around ask bout come girl ok said something thats wen youd,0,"That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
"
best exam later ur,0,"All e best 4 ur exam later.
"
come doesnt head hope hurt like much round staying tonight ur way,0,"Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
"
oh player think,0,"Oh k.i think most of wi and nz players unsold.
"
den fast go got haha lose month muz put thk,0,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.
"
boytoy friend get gone got love online phone think wonder,0,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy
"
drug haha need,0,"Haha just kidding, papa needs drugs
"
go haha lesson one thk wana whole ya,0,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...
"
oh ok,0,"Oh ok..
"
dinner meeting still tonight,0,"R we still meeting 4 dinner tonight?
"
